epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,dataset,method,is_best
1,2.3859458962249755,0.40696,0.9687478308677673,0.718,1e-05,cifar100,full,True
2,1.2095285034942627,0.66774,0.6491434989929199,0.8001,9.997532801828659e-06,cifar100,full,True
3,0.959526001663208,0.73192,0.5567042689323425,0.8315,9.990133642141359e-06,cifar100,full,True
4,0.8245692816162109,0.76926,0.5279915694236755,0.84,9.977809823015402e-06,cifar100,full,True
5,0.751179376449585,0.78904,0.505194367814064,0.8454,9.960573506572391e-06,cifar100,full,True
6,0.6898306764602661,0.80652,0.49238923053741457,0.849,9.93844170297569e-06,cifar100,full,True
7,0.6410975624656677,0.82084,0.46227189726829526,0.8562,9.911436253643447e-06,cifar100,full,True
8,0.5866814932823181,0.83516,0.4533930713176727,0.8581,9.87958380969374e-06,cifar100,full,True
9,0.5603008183860779,0.84342,0.464325718832016,0.8591,9.842915805643158e-06,cifar100,full,True
10,0.5216311674499512,0.85452,0.4763444107532501,0.861,9.801468428384718e-06,cifar100,full,True
11,0.495698305644989,0.8624,0.46591790533065797,0.8643,9.75528258147577e-06,cifar100,full,True
12,0.4875370945072174,0.86536,0.44965109581947327,0.8695,9.70440384477113e-06,cifar100,full,True
13,0.4625806632423401,0.8722,0.4615359398365021,0.8673,9.64888242944126e-06,cifar100,full,False
14,0.44563460877895356,0.877,0.4659753221988678,0.8659,9.588773128419908e-06,cifar100,full,False
15,0.4167778005599976,0.8853,0.44038700833320615,0.8735,9.524135262330102e-06,cifar100,full,True
16,0.4030655544090271,0.88992,0.45347566940784456,0.8714,9.455032620941843e-06,cifar100,full,False
17,0.4059361810588837,0.88798,0.4507719378709793,0.8736,9.381533400219322e-06,cifar100,full,True
18,0.3965441434764862,0.8916,0.4658188396692276,0.8681,9.303710135019723e-06,cifar100,full,False
19,0.3796183553314209,0.89592,0.4513719877243042,0.8751,9.22163962751008e-06,cifar100,full,True
20,0.366166246137619,0.90044,0.4621111815273762,0.8692,9.135402871372813e-06,cifar100,full,False
21,0.35461772713661194,0.90274,0.45410736627578735,0.8729,9.045084971874742e-06,cifar100,full,False
22,0.34289303073883054,0.90622,0.4650209518194199,0.8694,8.950775061878456e-06,cifar100,full,False
23,0.34650413747787473,0.9055,0.4523151504993439,0.8753,8.85256621387895e-06,cifar100,full,True
24,0.335526033667922,0.9093,0.4934361390829086,0.8637,8.750555348152302e-06,cifar100,full,False
25,0.3301826609802246,0.90992,0.4533561767578125,0.874,8.644843137107061e-06,cifar100,full,False
26,0.31609001954078675,0.91344,0.4643714008331299,0.8746,8.53553390593274e-06,cifar100,full,False
27,0.316020057964325,0.91438,0.4714272905111313,0.8725,8.422735529643446e-06,cifar100,full,False
28,0.3087424524307251,0.91622,0.4621254471063614,0.8746,8.306559326618261e-06,cifar100,full,False
29,0.29997249846220014,0.9186,0.4603777876853943,0.8744,8.187119948743451e-06,cifar100,full,False
30,0.29012237150669096,0.92116,0.4669552762031555,0.8766,8.064535268264885e-06,cifar100,full,True
31,0.2894262038564682,0.92084,0.45900334436893464,0.8748,7.938926261462368e-06,cifar100,full,False
32,0.2795245744609833,0.92402,0.4629016788721085,0.8777,7.810416889260654e-06,cifar100,full,True
33,0.2773543690347672,0.92522,0.4834711475610733,0.8751,7.679133974894984e-06,cifar100,full,False
34,0.2758261287498474,0.9253,0.47965197815895083,0.874,7.545207078751858e-06,cifar100,full,False
35,0.2772079486942291,0.9238,0.4829286982178688,0.8763,7.408768370508578e-06,cifar100,full,False
36,0.26701022556781767,0.92672,0.46990383410453795,0.8753,7.269952498697735e-06,cifar100,full,False
37,0.26118911262512207,0.92898,0.4843607015132904,0.8767,7.128896457825365e-06,cifar100,full,False
38,0.2671976802623272,0.92868,0.47312884261608124,0.8763,6.985739453173904e-06,cifar100,full,False
39,0.24744612962603568,0.93222,0.4786564363479614,0.8769,6.840622763423393e-06,cifar100,full,False
40,0.2512442359495163,0.93318,0.4784305133342743,0.8761,6.693689601226459e-06,cifar100,full,False
41,0.24049010777153074,0.93424,0.4935638219833374,0.8708,6.545084971874739e-06,cifar100,full,False
42,0.2492576540994644,0.93358,0.48780710110664366,0.8735,6.394955530196148e-06,cifar100,full,False
