epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,dataset,method,is_best
1,2.8665514114379884,0.31254,1.3222300085067749,0.6207,5e-05,cifar100,lora,True
2,1.4915303810882568,0.59234,0.8750205917358398,0.7398,4.998766400914329e-05,cifar100,lora,True
3,1.1928787226486206,0.66788,0.7003693234443664,0.7851,4.995066821070679e-05,cifar100,lora,True
4,1.0502941147613525,0.70564,0.6151705615997315,0.8041,4.9889049115077005e-05,cifar100,lora,True
5,0.9648143603134155,0.72774,0.5829210969924927,0.8179,4.9802867532861956e-05,cifar100,lora,True
6,0.8981049847602844,0.74388,0.5394566137313843,0.8318,4.969220851487845e-05,cifar100,lora,True
7,0.8628691898345947,0.75606,0.5180063561439514,0.8357,4.9557181268217227e-05,cifar100,lora,True
8,0.819307401342392,0.7662,0.49129196829795835,0.8475,4.939791904846869e-05,cifar100,lora,True
9,0.7781520254993439,0.77758,0.4824595355510712,0.8481,4.921457902821578e-05,cifar100,lora,True
10,0.7567255530166626,0.78356,0.4690259313583374,0.8526,4.9007342141923585e-05,cifar100,lora,True
11,0.7277368508148193,0.7905,0.4562249249458313,0.8589,4.877641290737885e-05,cifar100,lora,True
12,0.703778727016449,0.79846,0.45719597749710084,0.8556,4.852201922385565e-05,cifar100,lora,False
13,0.6912718824195861,0.80286,0.43973205914497376,0.8656,4.82444121472063e-05,cifar100,lora,True
14,0.6709630016517639,0.8064,0.4369037925720215,0.8654,4.794386564209954e-05,cifar100,lora,False
15,0.6509085447692871,0.81574,0.4331021764755249,0.8658,4.76206763116505e-05,cifar100,lora,True
16,0.6447092115402222,0.81648,0.4269993058681488,0.8703,4.727516310470921e-05,cifar100,lora,True
17,0.6238386395645141,0.82216,0.42829498329162596,0.8695,4.6907667001096604e-05,cifar100,lora,False
18,0.6101967052841186,0.82604,0.41475864872932433,0.8706,4.651855067509861e-05,cifar100,lora,True
19,0.6019856606674194,0.82796,0.41900036232471466,0.871,4.61081981375504e-05,cifar100,lora,True
20,0.5856044700241089,0.8311,0.42432341957092284,0.8736,4.567701435686407e-05,cifar100,lora,True
21,0.5770795170021057,0.83538,0.4169860357761383,0.8715,4.522542485937371e-05,cifar100,lora,False
22,0.5660613886833191,0.83698,0.4113484359264374,0.875,4.475387530939228e-05,cifar100,lora,True
